classification,ax,ay,az,gx,gy,gz,ax2,ay2,az2,gx2,gy2,gz2,mx,my,mz,steps,temp
0,15377,-1333,-642,-139,-8,19,16000,-2960,-2704,-385,-293,-149,163,90,364,80,-5456
0,15414,-1444,-799,-118,126,28,16160,-3036,-2676,-62,-200,-39,168,85,366,80,-5456
1,386,5247,9200,-24774,20218,832,-324,-11864,13444,575,-499,866,283,65327,65298,80,-5456
1,-3174,-11478,10537,2064,580,-225,-616,-12452,10644,-897,81,-515,278,65316,65292,80,-5440
1,-2930,-11465,10891,926,171,407,-700,-12244,11668,-861,268,37,271,65318,65288,80,-5424
1,-2916,-11470,10313,381,-41,-22,-292,-11892,11832,-16,-371,85,260,65323,65276,80,-5408
1,-2866,-11136,10526,860,219,-346,8,-11744,12676,-252,-396,-516,250,65333,65271,80,-5408
1,-2943,-11052,11090,-411,67,-398,8,-11380,12428,-227,-356,294,249,65335,65270,80,-5424
1,-2794,-10766,11479,632,423,349,-52,-11684,12352,-797,12,130,247,65335,65267,80,-5424
1,-2772,-10872,11448,-194,209,68,-48,-11608,12508,-445,-52,-125,244,65335,65265,80,-5440
1,-2900,-10722,11451,-53,-30,-149,392,-11164,12564,-583,341,538,241,65331,65261,80,-5456
1,-3143,-10596,11327,323,1,205,-368,-11008,12656,121,353,-351,238,65320,65258,80,-5456
1,-3438,-10748,11392,-189,86,-42,-228,-11124,13072,-591,39,-534,234,65325,65256,80,-5456
1,-2923,-10183,11932,356,55,59,-192,-10820,12504,-613,-166,-15,234,65333,65257,80,-5440
1,-3048,-10160,11091,-77,-51,170,-104,-11356,12420,-304,355,-595,232,65330,65255,80,-5424
1,-2855,-10151,11350,-161,46,15,136,-10932,12976,-32,-235,-232,231,65341,65257,80,-5440
1,-2733,-10262,11316,34,16,90,-56,-11164,13108,-194,-294,-306,233,65335,65257,80,-5472
1,-2747,-10157,11347,391,-108,388,32,-10688,13204,-616,-257,-104,231,65336,65255,80,-5424
1,-2955,-9967,12261,-520,-184,-175,-52,-10876,13360,-179,-399,-395,229,65339,65253,80,-5424
